Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00370560542088127,-0.00123891547063168,-0.0326447076903412,0,0,0,0.0585904996282878,8.00882758728889E-05,-9.08460677919354E-06,-4.47145682288692E-13,0.000258854069540987,-1.24068479421353E-12,0.000335783016348923,0,0,0,0,0,0,package://assembly_of_robot/meshes/base_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/base_link.STL,,mobile^assembly of robot-1/bottom chassis-1,global_base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_fl_link,-0.000105669853970536,-0.00174681357516555,0.0101270123724146,0,0,0,0.166945648341111,6.72961952966562E-05,8.75460776044797E-10,3.1755781149978E-12,6.72928970285414E-05,1.03915652666965E-12,0.000113206411676655,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_fl_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_fl_link.STL,,mobile^assembly of robot-1/Wheel D65x25-1,wheel_front_left,,wheel_fl_joint,fixed,-0.064799,-0.06515,-0.020884,1.5708,-0.060409,0.050643,base_link,0,0,0,,,,,,,,,,,,
wheel_fr_link,-0.000105670029036942,0.00174681288738787,0.010127012388173,0,0,0,0.166945648268322,6.72959886592619E-05,-1.18547893310603E-09,3.06215474412157E-12,6.72931038073597E-05,-9.2618000400134E-13,0.000113206411590483,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_fr_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_fr_link.STL,,mobile^assembly of robot-1/Wheel D65x25-4,wheel_front_right,,wheel_fr_joint,fixed,-0.070948,0.056167,-0.020884,-1.5708,-0.060409,0.050643,base_link,0,0,0,,,,,,,,,,,,
wheel_bl_link,-0.000105669853960988,-0.0017468135751744,0.0101270123724197,0,0,0,0.166945648341348,6.72961952967705E-05,8.75460791537877E-10,3.17557931693756E-12,6.72928970285945E-05,1.03916985727418E-12,0.000113206411676816,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_bl_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_bl_link.STL,,mobile^assembly of robot-1/Wheel D65x25-2,wheel_back_left,,wheel_bl_joint,fixed,0.063537,-0.058645,-0.020884,1.5708,-0.060409,0.050643,base_link,0,0,0,,,,,,,,,,,,
wheel_br_link,-0.000105670029167615,0.00174681288747511,0.010127012388229,0,0,0,0.166945648269942,6.72959886593697E-05,-1.18547871982134E-09,3.06227103560424E-12,6.72931038077175E-05,-9.26253933036976E-13,0.000113206411590851,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_br_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/wheel_br_link.STL,,mobile^assembly of robot-1/Wheel D65x25-3,wheel_back_right,,wheel_br_joint,fixed,0.057387,0.062672,-0.020884,-1.5708,-0.060409,0.050643,base_link,0,0,0,,,,,,,,,,,,
arm_link_1,-0.124122626261111,0.00674578860620575,-0.0308255459423702,0,0,0,8.1278852649819E-05,4.93089984265765E-09,-3.70030615453607E-10,-6.73001887244955E-11,2.95256868033253E-10,5.33829838018978E-12,4.99315942171251E-09,0,0,0,0,0,0,package://assembly_of_robot/meshes/arm_link_1.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/arm_link_1.STL,,Assembly1.iam-1/Assembly3.iam-1/SG90Horn2.ipt-1,gripper_servo,,arm_joint_1,fixed,0.18587,0.0065057,0.10591,-3.0796,-0.66341,-0.035278,base_link,0,0,0,,,,,,,,,,,,
arm_link_2,0.00648574509338751,-0.0035676648492927,0.0146673556846963,0,0,0,5.57519132003526E-05,1.44807551587359E-09,4.27495052985691E-10,-4.51952909781509E-11,3.63616413413215E-10,1.30323710094228E-10,1.70581897775778E-09,0,0,0,0,0,0,package://assembly_of_robot/meshes/arm_link_2.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/arm_link_2.STL,,Assembly1.iam-1/Assembly2.iam-1/SG90Horn1.ipt-1,Coordinate System6,Axis_arm_joint_2,arm_joint_2,fixed,-0.0977341582856277,0.032098573245808,-0.0458965624183291,1.57079632679489,-0.605405747453626,-0.0791549736736961,arm_link_1,0,0,0,,,,,,,,,,,,
arm_link_3,0.0018500879530019,0.00214391271618598,0.0146673556846982,0,0,0,5.57519132003528E-05,7.09211449765935E-10,6.6189105909767E-10,1.10556176440161E-10,1.10248047952088E-09,-8.24876693224881E-11,1.70581897775779E-09,0,0,0,0,0,0,package://assembly_of_robot/meshes/arm_link_3.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/arm_link_3.STL,,Assembly1.iam-1/Assembly5.iam-1/SG90Horn1.ipt-1,Coordinate System7,Axis_arm_joint_3,arm_joint_3,fixed,0,0,0.05472,-3.14159265358979,0,0,arm_link_2,0,0,0,,,,,,,,,,,,
gripper_link,0.113318137458526,0.000812721670038208,0.0681968479941391,0,0,0,5.57519132003527E-05,1.25390317776698E-09,6.01820102436692E-10,-2.41092409319661E-10,6.75526733669433E-10,2.75026382373374E-10,1.58808099560817E-09,0,0,0,0,0,0,package://assembly_of_robot/meshes/gripper_link.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/gripper_link.STL,,Assembly1.iam-1/Assembly4.iam-1/SG90Horn1.ipt-1,Coordinate System8,Axis_gripper_joint,gripper_joint,fixed,-0.00711645531853933,-0.0406041889920145,0.0273600000000001,-1.5707963267949,-0.0652497686603052,-0.0604604536911187,arm_link_3,0,0,0,,,,,,,,,,,,
camera_link,0.108923900965111,-0.193632937507779,-0.872560202073008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://assembly_of_robot/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly_of_robot/meshes/camera_link.STL,,Cam V2.1 v1.step-1,camera coordinate,,camera_joint,fixed,-0.10746,-0.021291,0.093296,0.89986,-1.2952,-0.86787,base_link,0,0,0,,,,,,,,,,,,
