Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00064800297556189,-0.000199949156994117,0.0224556179216661,0,0,0,1.07426092773631,0.000523142009624511,-5.33696225267061E-05,-7.19949258461872E-09,0.00122730643995076,3.02660473497791E-07,0.00127913895096428,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/base_link.STL,,mobile^assembly of robot-1/Wheel D65x25-2;mobile^assembly of robot-1/Motor-4;mobile^assembly of robot-1/bottom chassis-1;mobile^assembly of robot-1/top chasis-1;mobile^assembly of robot-1/supporting hexagon pillar-10;ArduinoMega-1;mobile^assembly of robot-1/Wheel D65x25-1;mobile^assembly of robot-1/Motor-1;mobile^assembly of robot-1/Motor-2;mobile^assembly of robot-1/supporting hexagon pillar-3;mobile^assembly of robot-1/supporting hexagon pillar-14;mobile^assembly of robot-1/Wheel D65x25-4;mobile^assembly of robot-1/supporting hexagon pillar-9;mobile^assembly of robot-1/supporting hexagon pillar-12;mobile^assembly of robot-1/Motor-3;mobile^assembly of robot-1/Wheel D65x25-3;mobile^assembly of robot-1/edit 4-2;mobile^assembly of robot-1/pan head cross recess screw_iso-11;mobile^assembly of robot-1/supporting hexagon pillar-13;mobile^assembly of robot-1/pan head cross recess screw_iso-1;L298N Motor Driver-2;L298N Motor Driver-1;mobile^assembly of robot-1/supporting hexagon pillar-6;mobile^assembly of robot-1/supporting hexagon pillar-8;mobile^assembly of robot-1/supporting hexagon pillar-11;mobile^assembly of robot-1/supporting hexagon pillar-1;18650 Battery.step-4;18650 Battery.step-2;18650 Battery.step-1;mobile^assembly of robot-1/hexagon thin nut (ch)_is-5;mobile^assembly of robot-1/pan head cross recess screw_iso-7;mobile^assembly of robot-1/hexagon thin nut (ch)_is-6;mobile^assembly of robot-1/pan head cross recess screw_iso-6;mobile^assembly of robot-1/hexagon thin nut (ch)_is-7;mobile^assembly of robot-1/pan head cross recess screw_iso-5;mobile^assembly of robot-1/pan head cross recess screw_iso-4;mobile^assembly of robot-1/hexagon thin nut (ch)_is-8;mobile^assembly of robot-1/supporting hexagon pillar-2;mobile^assembly of robot-1/supporting hexagon pillar-4;mobile^assembly of robot-1/pan head cross recess screw_iso-9;mobile^assembly of robot-1/hexagon thin nut (ch)_is-4;mobile^assembly of robot-1/hexagon thin nut (ch)_is-2;mobile^assembly of robot-1/pan head cross recess screw_iso-10;mobile^assembly of robot-1/hexagon thin nut (ch)_is-13;mobile^assembly of robot-1/hexagon thin nut (ch)_is-12;mobile^assembly of robot-1/hexagon thin nut (ch)_is-10;mobile^assembly of robot-1/hexagon thin nut (ch)_is-14;mobile^assembly of robot-1/hexagon thin nut (ch)_is-11;mobile^assembly of robot-1/hexagon thin nut (ch)_is-9;mobile^assembly of robot-1/hexagon thin nut (ch)_is-3;mobile^assembly of robot-1/pan head cross recess screw_iso-8;mobile^assembly of robot-1/pan head cross recess screw_iso-13;mobile^assembly of robot-1/hexagon thin nut (ch)_is-1;mobile^assembly of robot-1/supporting hexagon pillar-5;mobile^assembly of robot-1/pan head cross recess screw_iso-2;mobile^assembly of robot-1/pan head cross recess screw_iso-12;mobile^assembly of robot-1/pan head cross recess screw_iso-14;mobile^assembly of robot-1/pan head cross recess screw_iso-3;cameraholder-1;cameraholder2-1;hexagon thin nut (ch)_is-1;pan head cross recess screw_iso-1;PCA9685 v18.step-1;supporting hexagon pillar small-1;supporting hexagon pillar small-3;Assembly1.iam-1/Part8.ipt-1;Assembly1.iam-1/Part1.ipt-1;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-1;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-2;supporting hexagon pillar small-4;supporting hexagon pillar small-2;Assembly1.iam-1/Assembly3.iam-1/SG90.ipt-1;Assembly1.iam-1/Assembly3.iam-1/SG90.ipt-2;Assembly1.iam-1/SG90.ipt-1,global_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ultra_lf_link,0.000392502520046079,0.00999778155024024,0.00386934718745924,0,0,0,0.00627539687489747,1.78976908086646E-07,7.30391819666835E-09,3.96814441299485E-10,3.90047381838217E-07,1.93385096181571E-09,4.6747919767257E-07,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_lf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_lf_link.STL,,HCSR04 Ultrasonic Sensor-5,ultra_left_side,Axis_ultra_lf_joint,ultra_lf_joint,fixed,-0.00226580751498728,0.0750361820477629,0.00200000000000006,1.5707963267949,-0.034893228197693,-3.06809938651869,base_link,0.994109411682675,-0.0902133376226379,0.0600452863671194,,,,,,,,,,,,
ultra_cl_link,0.000222406075916948,0.010003020783912,0.00386934006852402,0,0,0,0.00627540556306311,1.78789966908303E-07,3.71045324302472E-09,3.63869202998041E-10,3.90234791362463E-07,1.94031977317123E-09,4.67479665984999E-07,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_cl_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_cl_link.STL,,HCSR04 Ultrasonic Sensor-3,ultra_center_left,Axis_ultra_cl_joint,ultra_cl_joint,fixed,0.117331768199602,0.0520604546695451,0.00200000000000003,1.5707963267949,-0.0178847798605488,2.22332530130247,base_link,0,0,0,,,,,,,,,,,,
ultra_center_link,0.000903651099340264,0.00996459690264215,0.00386934479063039,0,0,0,0.00627539932879679,1.80276559726899E-07,1.80536125704803E-08,4.95265966528288E-10,3.88747971268318E-07,1.91101944350272E-09,4.67479439045531E-07,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_center_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_center_link.STL,,HCSR04 Ultrasonic Sensor-4,ultra_center,Axis_ultra_center_joint,ultra_center_joint,fixed,0.126350089728397,0.00784554805723164,0.00200000000000003,1.5707963267949,-0.0860932764661557,1.71543729999604,base_link,0,0,0,,,,,,,,,,,,
ultra_cr_link,0.000399191916967911,-0.00974732286991095,0.00336934153326418,0,0,0,0.00627540372500677,1.79166991919321E-07,-9.66225182141075E-09,-2.40452170936952E-10,3.89857689023337E-07,-1.95944567319489E-09,4.67479586656258E-07,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_cr_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_cr_link.STL,,HCSR04 Ultrasonic Sensor-2,ultra_center_right,Axis_ultra_cr_joint,ultra_cr_joint,fixed,0.120364794822,-0.0378424458058604,0.00225000000000003,-1.5707963267949,-0.0453879801240789,-1.78287911613685,base_link,0,0,0,,,,,,,,,,,,
ultra_right_side_link,-0.000922742788134978,-0.0100156939621976,0.0038693426395956,0,0,0,0.00627540290688136,1.78749869264092E-07,-2.30610000214141E-09,-3.08541334677673E-10,3.90274735150182E-07,-1.94986850656983E-09,4.67479505514093E-07,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_right_side_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/ultra_right_side_link.STL,,HCSR04 Ultrasonic Sensor-6,ultra_right_side,Axis_ultra_right_side_joint,ultra_right_side_joint,fixed,0.00472675427660008,-0.0748549926956864,0.00200000000000003,-1.5707963267949,-0.0105564142397783,-3.06809938651869,base_link,0.999873275135185,-0.0153119105873406,0.00322673218666552,,,,,,,,,,,,
camera_link,0.113101613282004,0.280706583049789,-0.844987323319077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/camera_link.STL,,Cam V2.1 v1.step-1,camera_cor,Axis_camera_joint,camera_joint,fixed,0.101824132879338,0.00950646835199812,0.128659999721809,1.32812932523048,0.443573327716237,1.53844767065916,base_link,-0.77008155834134,0.594774051730041,0.230693936398864,,,,,,,,,,,,
arm1_link,-0.0774407866713394,-0.00510260600289045,0.105779455605111,0,0,0,0.0555771996526445,6.21594066214897E-06,-3.5063653156084E-07,-2.71141858998155E-07,1.01641651598326E-05,-2.39497009232085E-08,9.59540801924735E-06,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/arm1_link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/arm1_link.STL,,Assembly1.iam-1/Assembly3.iam-1/Part11.ipt-1;Assembly1.iam-1/Assembly3.iam-1/Part13.ipt-1;Assembly1.iam-1/Assembly3.iam-1/Part15.ipt-1;Assembly1.iam-1/Assembly3.iam-1/Part9.ipt-1;Assembly1.iam-1/Assembly3.iam-1/SG90.ipt-2;Assembly1.iam-1/Assembly3.iam-1/SG90.ipt-1;Assembly1.iam-1/Assembly3.iam-1/Part1.ipt-1;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-1;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 12(1).ipt-2;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-2;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 12(1).ipt-1;Assembly1.iam-1/Assembly3.iam-1/ANSI B 18.2.4.1 M - M3 x 0.5Style 1.ipt-2;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 12(1).ipt-3;Assembly1.iam-1/Assembly3.iam-1/ANSI B 18.2.4.1 M - M3 x 0.5Style 1.ipt-1;Assembly1.iam-1/Assembly3.iam-1/Part13.ipt-2;Assembly1.iam-1/Assembly3.iam-1/ANSI B 18.2.4.1 M - M3 x 0.5Style 1.ipt-3;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 12(1).ipt-4;Assembly1.iam-1/Assembly3.iam-1/ANSI B 18.2.4.1 M - M3 x 0.5Style 1.ipt-4;Assembly1.iam-1/Assembly3.iam-1/Part1.ipt-2;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-3;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-4;Assembly1.iam-1/Assembly3.iam-1/Part12.ipt-1;Assembly1.iam-1/Assembly3.iam-1/SG90Horn2.ipt-1;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.6.5M - M2.5x0.45 x 8(38).ipt-2;Assembly1.iam-1/Assembly3.iam-1/ANSI B18.6.5M - M2.5x0.45 x 8(38).ipt-1,global_base,Axis4,arm1_joint,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,-1.5,1.5,,,,,,,,
arm2_link,-0.125168636410049,0.00321053283421635,0.165883121514536,0,0,0,0.025421450970038,4.93539788987539E-06,-1.69138231922324E-07,5.92515859666424E-08,6.92707179301842E-06,-2.355541751498E-08,2.78066800894729E-06,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/arm2_link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/arm2_link.STL,,Assembly1.iam-1/Part24.ipt-1;Assembly1.iam-1/Part4.ipt-1;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-3;Assembly1.iam-1/Assembly2.iam-1/Part6.ipt-1;Assembly1.iam-1/Assembly2.iam-1/SG90Horn1.ipt-1;Assembly1.iam-1/Assembly2.iam-1/ANSI B18.6.5M - M2.5x0.45 x 8(38).ipt-1;Assembly1.iam-1/Assembly2.iam-1/ANSI B18.6.5M - M2.5x0.45 x 4(38).ipt-1;Assembly1.iam-1/Assembly2.iam-1/ANSI B18.3.4M - M3 x 0.5 x 12(1).ipt-2;Assembly1.iam-1/Assembly2.iam-1/Part14.ipt-1;Assembly1.iam-1/Assembly2.iam-1/ANSI B 18.2.4.1 M - M3 x 0.5Style 1.ipt-1;Assembly1.iam-1/Part4.ipt-3;Assembly1.iam-1/Part16.ipt-1;Assembly1.iam-1/Part4.ipt-2;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 6(1).ipt-3;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-4;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 6(1).ipt-2;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-8;Assembly1.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-7;Assembly1.iam-1/Assembly4.iam-1/Part18.ipt-1;Assembly1.iam-1/Assembly4.iam-1/Part20.ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-4;Assembly1.iam-1/Assembly4.iam-1/Part17.ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.3.4M - M3 x 0.5 x 6(1).ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.3.4M - M3 x 0.5 x 8(1).ipt-3,global_base,Axis2,arm2_joint,revolute,0,0,0,0,0,0,arm1_link,0.087986,-0.99612,0,0,0,-1.5,1.5,,,,,,,,
gripper_link,-0.186719938225505,-0.0101933243873208,0.154829436742073,0,0,0,0.0134689809182682,6.42660595212128E-07,-3.68224348843171E-08,1.34491448246805E-07,1.09353163583225E-06,9.4548029175504E-09,7.73525430068985E-07,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/gripper_link.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://assembly of robot.SLDASM/meshes/gripper_link.STL,,Assembly1.iam-1/Assembly4.iam-1/ANSI B18.6.5M - M2.5x0.45 x 4(38).ipt-1;Assembly1.iam-1/Assembly4.iam-1/SG90Horn1.ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.6.5M - M2.5x0.45 x 8(38).ipt-1;Assembly1.iam-1/Assembly4.iam-1/Part23.ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.3.4M - M3 x 0.5 x 6(1).ipt-4;Assembly1.iam-1/Assembly4.iam-1/Part25.ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.3.4M - M3 x 0.5 x 6(1).ipt-3;Assembly1.iam-1/Assembly4.iam-1/Part22.ipt-1;Assembly1.iam-1/Assembly4.iam-1/Part21.ipt-1;Assembly1.iam-1/Assembly4.iam-1/ANSI B18.3.4M - M3 x 0.5 x 6(1).ipt-2;Assembly1.iam-1/Assembly4.iam-1/SG90.ipt-1,global_base,Axis3,gripper_joint,revolute,0,0,0,0,0,0,arm2_link,-0.61534,-0.054353,-0.78638,0,0,-1.5,1.5,,,,,,,,
